tree_id,scientific_name,diameter_breast_height_cm,tree_latitude,tree_longitude,canopy_id,canopy_area,canopy_diameter
1033346,Cupressus sempervirens,30.0,-37.82461855,144.9756863,18247,29889.371,195.08
1033347,Cupressus sempervirens,30.0,-37.82464726,144.9756134,24757,37.41,6.902
1033348,Cupressus sempervirens,30.0,-37.82467848,144.9755424,7772,227.191,17.008
1033350,Cupressus sempervirens,40.0,-37.8246675,144.9757295,24586,22.699,5.376
1033363,Quercus canariensis,65.0,-37.82417307,144.9757746,40234,430.152,23.403
1033367,Corymbia citriodora,25.0,-37.82425499,144.9755727,40234,430.152,23.403
1033377,Corymbia maculata,30.0,-37.82357435,144.9755453,35032,242.73,17.58
1033380,Quercus palustris,45.0,-37.82347868,144.9757987,8594,493.867,25.076
1033382,Quercus palustris,35.0,-37.82328429,144.9755779,743,107.496,11.699
1033387,Corymbia maculata,30.0,-37.82340117,144.9753526,8581,64.605,9.07
1033410,Platanus x acerifolia,65.0,-37.82409399,144.9768384,33482,1155.031,38.349
1033416,Eucalyptus camaldulensis,120.0,-37.82502903,144.9775273,41528,1544.801,44.35
1033422,Eucalyptus elata,80.0,-37.82547182,144.9778754,24659,2127.918,52.051
1033424,Cedrus deodara,45.0,-37.82541787,144.9776209,41528,1544.801,44.35
1033426,Grevillea robusta,70.0,-37.82513264,144.977392,41528,1544.801,44.35
1033430,Grevillea robusta,45.0,-37.82529123,144.9772612,18247,29889.371,195.08
1033431,Ulmus procera,55.0,-37.82536526,144.9771698,18247,29889.371,195.08
1033432,Ulmus procera,50.0,-37.82543889,144.9771605,18247,29889.371,195.08
1033433,Ulmus procera,45.0,-37.8254604,144.9771215,18247,29889.371,195.08
1033434,Tilia x europaea,30.0,-37.82525993,144.9770864,18247,29889.371,195.08
1033435,Ulmus glabra 'Lutescens',45.0,-37.82525141,144.9770033,18247,29889.371,195.08
1033438,Araucaria bidwillii,55.0,-37.82537798,144.9768289,18247,29889.371,195.08
1033443,Syzygium smithii,25.0,-37.82550611,144.9768475,18247,29889.371,195.08
1033444,Magnolia grandiflora,30.0,-37.82552117,144.9767211,18247,29889.371,195.08
1033449,Pittosporum undulatum,35.0,-37.82554475,144.9771942,18247,29889.371,195.08
1033456,Cedrus deodara,12.0,-37.8250114,144.9769146,44522,564.391,26.807
1033457,Corymbia maculata,35.0,-37.82516235,144.9769551,18247,29889.371,195.08
1033459,Cedrus deodara,40.0,-37.82502371,144.9772179,41528,1544.801,44.35
1033461,Cedrus deodara,55.0,-37.82484878,144.976794,44522,564.391,26.807
1033462,Cedrus deodara,25.0,-37.82473913,144.9768356,2474,168.977,14.668
1033469,Eucalyptus obliqua,50.0,-37.82482441,144.9763985,18247,29889.371,195.08
1033470,Eucalyptus goniocalyx,55.0,-37.82485465,144.9764485,18247,29889.371,195.08
1033477,Eucalyptus camaldulensis,70.0,-37.82450954,144.9766168,18247,29889.371,195.08
1033482,Cedrus deodara,32.0,-37.82429589,144.9764966,18247,29889.371,195.08
1033489,Angophora floribunda,45.0,-37.82474768,144.9761009,18247,29889.371,195.08
1033502,Angophora floribunda,69.0,-37.82404084,144.9761432,4611,785.688,31.629
1033505,Eucalyptus camaldulensis,75.0,-37.82395664,144.9762667,4611,785.688,31.629
1033510,Angophora floribunda,30.0,-37.82465654,144.9762584,18247,29889.371,195.08
1033515,Hesperocyparis macrocarpa,90.0,-37.82555486,144.9774896,34325,100.008,11.284
1033517,Ulmus procera,65.0,-37.82560337,144.9776872,24659,2127.918,52.051
1033533,Quercus canariensis x robur,100.0,-37.82301025,144.9705622,54372,1074.137,36.982
1033538,Washingtonia filifera,,-37.8228592,144.9708107,17911,95.391,11.021
1033544,Phoenix canariensis,72.0,-37.8226591,144.971273,31558,18392.973,153.032
1033545,Cedrus atlantica,52.0,-37.82263071,144.9710767,34909,120.219,12.372
