service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
e308616c-ccb8-46e5-983a-ead6c6f6d6c0,CLOSED,Southbank Medical Clinic,08:30:00 - 18:00:00,08:30:00 - 18:00:00,08:30:00 - 18:00:00,08:30:00 - 18:00:00,08:30:00 - 18:00:00,151 Sturt Street,Southbank,VIC,3006,-37.82766342,144.96656799,09:00:00 - 12:00:00,,
135734f1-6d0f-f1f4-9fbe-537b52a0743b,CLOSED,Asbestoswise,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,"Ross House,247 251 Flinders Lane",Melbourne,VIC,3000,-37.81699371,144.96617126,,,
ea4a0a11-b82f-62ee-494c-a2d4dd06b48e,CLOSED,Australian College Of Sports Therapy,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 6,341 Queen Street",Melbourne,VIC,3000,-37.81043625,144.95831299,,,
b2477b7f-c29d-bd87-e623-a1eed645f459,CLOSED,Australian College Of Sports Therapy,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 6,341 Queen Street",Melbourne,VIC,3000,-37.81043625,144.95831299,,,
f00de0ac-dd91-4405-be01-d6a90c6679f4,CLOSED,Kids Travel Doc,09:00:00 - 17:00:00,,,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Suite 3.3,48 FLEMINGTON ROAD",Parkville,VIC,3052,-37.79363013,144.94952268,,,
fc5e4ca3-23fa-4083-9aeb-3d3709b3adba,CLOSED,Ambition Home Care,10:00:00 - 21:00:00,10:00:00 - 21:00:00,10:00:00 - 21:00:00,10:00:00 - 21:00:00,10:00:00 - 21:00:00,Confidential Address,Melbourne,VIC,3000,-37.82505258,144.97150601,10:00:00 - 21:00:00,,10:00:00 - 21:00:00
92a5b26b-001b-4a7d-84bf-7dd7bce8e8bc,CLOSED,Luna Massage Therapies,07:00:00 - 21:00:00,07:00:00 - 21:00:00,07:00:00 - 21:00:00,07:00:00 - 21:00:00,07:00:00 - 21:00:00,"1,423 Little Collins Street",Melbourne,VIC,3000,-37.81622935,144.96063771,09:00:00 - 18:00:00,,09:00:00 - 18:00:00
fcd22891-fbaf-4810-85cc-225b033685a9,CLOSED,MSI Vasectomy - Mayfair Operating Centre,07:00:00 - 19:00:00,07:00:00 - 19:00:00,07:00:00 - 19:00:00,07:00:00 - 18:00:00,07:00:00 - 18:00:00,"Level 7,766 ELIZABETH STREET",Melbourne,VIC,3000,-37.80055459,144.95819114,09:00:00 - 17:00:00,,
af44fa3f-6feb-404b-a14b-0bd8861d82fd,CLOSED,Genesis Dentists,08:30:00 - 19:00:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"Arden Gardens,Shop 2,168 MACAULAY ROAD",North Melbourne,VIC,3051,-37.79685038,144.94048334,09:00:00 - 18:00:00,,
c0c29626-ada9-485d-ad82-e18805c3feb8,CLOSED,St Kilda Road Medical Centre,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,"Level 1,391 St Kilda Road",Melbourne,VIC,3004,-37.83549118,144.97572327,09:00:00 - 13:00:00,PUBLIC HEALTH MANAGEMENT PTY LTD,
a1b8796c-1c51-4f26-a25d-332cae8b08c0,CLOSED,Elegant Thai Massage,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,168 Exhibition Street,Melbourne,VIC,3000,-37.81151604,144.97073389,11:00:00 - 21:30:00,,11:00:00 - 21:30:00
6f7df9c7-0c3b-61a8-05ca-cb6efa2a2e28,OPEN,Prof Robert Whitbourn Rooms,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00,159 Grey Street,East Melbourne,VIC,3002,-37.81173325,144.98419189,00:00:00 - 23:59:00,St Vincent's Private Hospital Melbourne Ltd,00:00:00 - 23:59:00
0ab14691-768c-9433-05c1-7ed37b6f6cdf,CLOSED,Australian Prostate Centre,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 8,14-20 Blackwood Street",North Melbourne,VIC,3051,-37.8016243,144.95501709,,,
